method,backbone,n_way,k_shot,path,episode,test_acc,timestamp
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,99,-inf,2026-07-25T11:20:48.607288+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,49,-inf,2026-07-25T11:22:13.968173+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,149,-inf,2026-07-25T11:32:08.723726+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,99,-inf,2026-07-25T11:33:22.443915+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,199,-inf,2026-07-25T11:44:31.491408+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,149,-inf,2026-07-25T11:45:36.953841+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,249,-inf,2026-07-25T11:56:13.345127+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,199,-inf,2026-07-25T11:57:06.432949+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,299,-inf,2026-07-25T12:07:29.689565+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,249,-inf,2026-07-25T12:08:14.658139+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,349,-inf,2026-07-25T12:20:58.366732+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,299,-inf,2026-07-25T12:21:29.057425+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,399,-inf,2026-07-25T12:32:21.549936+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,349,-inf,2026-07-25T12:32:44.467620+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,449,-inf,2026-07-25T12:44:16.533045+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,399,-inf,2026-07-25T12:44:35.698924+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,499,-inf,2026-07-25T12:55:10.056310+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,449,-inf,2026-07-25T12:55:21.363362+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,549,-inf,2026-07-25T13:06:46.919207+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,499,-inf,2026-07-25T13:06:58.404365+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,599,-inf,2026-07-25T13:17:45.362933+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,549,-inf,2026-07-25T13:17:54.768475+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,649,-inf,2026-07-25T13:29:31.342387+00:00
protonet,mobilenetv4_conv_small.e2400_r224_in1k,5,1,/home/soumik/soumik/misc/output/checkpoints/protonet_mobilenetv4_conv_small.e2400_r224_in1k_5way_1shot_latest.pt,599,-inf,2026-07-25T13:29:39.380881+00:00
